person_age,person_gender,person_education,person_income,loan_amnt,loan_intent,loan_int_rate,cb_person_cred_hist_length,previous_loan_defaults_on_file,loan_status
24,female,Bachelor,32200,10000,PERSONAL,10.99,4,No,1
23,male,Bachelor,63150,3500,MEDICAL,10.75,3,No,1
22,male,Bachelor,81756,3900,EDUCATION,14.35,4,No,0
24,female,Associate,32073,10000,EDUCATION,16.63,2,No,1
22,male,High School,82272,9600,EDUCATION,14.96,4,No,0
24,female,Master,82042,12000,MEDICAL,12.87,4,No,0
22,male,High School,81858,5500,EDUCATION,10.25,4,No,0
22,male,High School,32647,10000,VENTURE,13.49,3,No,1
21,male,High School,63923,4000,MEDICAL,11.01,2,No,1
24,female,High School,74917,19600,DEBTCONSOLIDATION,15.65,2,No,1
22,female,Master,32965,10000,EDUCATION,7.49,3,No,1
24,male,High School,81622,14400,EDUCATION,11.71,2,Yes,0
22,male,High School,32767,10000,PERSONAL,16.02,2,No,1
21,female,High School,32545,10000,MEDICAL,11.01,2,No,1
24,female,Associate,32764,10000,MEDICAL,6.54,4,No,1
24,female,Bachelor,82048,3000,PERSONAL,7.88,4,No,0
22,male,Master,32720,10000,PERSONAL,9.88,2,No,1
23,male,High School,33269,10000,MEDICAL,10.65,3,No,1
23,female,High School,33602,10000,MEDICAL,11.01,2,No,1
24,male,Bachelor,33847,10000,DEBTCONSOLIDATION,12.73,2,No,1
22,female,Associate,33585,10000,EDUCATION,12.61,4,No,1
22,male,High School,34363,10000,EDUCATION,10.28,3,No,1
23,female,Bachelor,34728,10000,DEBTCONSOLIDATION,11.01,2,No,1
22,female,Master,34618,10000,EDUCATION,5.42,3,No,1
24,female,Associate,34764,10000,MEDICAL,6.91,3,No,1
25,male,High School,82104,3000,MEDICAL,14.35,3,Yes,0
21,male,Bachelor,35280,10000,PERSONAL,11.34,3,No,1
25,female,Bachelor,35937,10000,VENTURE,7.49,2,No,1
22,female,High School,35634,10000,MEDICAL,7.29,3,No,1
22,female,Bachelor,82111,9600,EDUCATION,14.79,4,Yes,0
24,female,Master,35464,10000,VENTURE,10.74,2,No,1
21,male,High School,35727,10000,DEBTCONSOLIDATION,10,4,No,1
22,male,Associate,82635,6400,VENTURE,7.14,3,No,0
23,male,Associate,74782,1700,DEBTCONSOLIDATION,16.77,4,No,1
26,male,Master,82109,2400,DEBTCONSOLIDATION,8.49,4,No,0
26,female,Master,36101,10000,HOMEIMPROVEMENT,11.71,4,No,1
24,female,Bachelor,82546,12000,DEBTCONSOLIDATION,10.75,2,No,0
23,male,Bachelor,82425,12000,VENTURE,7.51,3,Yes,0
25,female,High School,83053,6500,HOMEIMPROVEMENT,16.29,3,No,0
23,male,High School,36803,10000,HOMEIMPROVEMENT,15.27,4,No,1
22,male,High School,82302,20000,EDUCATION,16.77,4,Yes,0
22,female,High School,82279,16000,DEBTCONSOLIDATION,7.9,4,No,0
23,male,Bachelor,37073,10000,EDUCATION,13.99,2,No,1
21,female,High School,37068,10000,VENTURE,11.99,4,No,1
24,male,Bachelor,36822,10000,PERSONAL,19.29,3,No,1
23,male,High School,37060,10000,DEBTCONSOLIDATION,7.49,2,No,1
26,female,Associate,37135,10000,DEBTCONSOLIDATION,6.99,4,No,1
22,female,Associate,82681,9000,EDUCATION,15.27,2,No,0
23,male,Master,64253,8000,MEDICAL,16.29,2,No,1
25,male,Associate,82588,6000,HOMEIMPROVEMENT,12.42,4,Yes,0
23,female,Associate,82905,10000,MEDICAL,9.91,4,Yes,0
21,female,Associate,64200,26400,MEDICAL,16.49,3,No,1
22,female,Associate,82593,11000,EDUCATION,6.99,4,Yes,0
23,female,Master,82500,11500,EDUCATION,9.99,3,No,0
22,female,Associate,36904,10000,DEBTCONSOLIDATION,10.37,4,No,1
24,male,Bachelor,36720,10000,MEDICAL,5.79,4,No,1
24,female,Associate,82711,8000,MEDICAL,7.49,4,Yes,0
25,female,Bachelor,37246,10000,MEDICAL,7.51,2,No,1
22,female,High School,82734,6500,VENTURE,5.99,4,Yes,0
22,male,Associate,36822,10000,EDUCATION,11.86,2,No,1
22,female,Associate,82565,10000,PERSONAL,7.49,2,No,0
25,male,High School,82669,6500,VENTURE,12.99,3,Yes,0
22,male,Master,37352,10000,EDUCATION,14.35,3,No,1
22,female,Master,36951,10000,PERSONAL,13.98,2,No,1
25,male,High School,82852,8000,DEBTCONSOLIDATION,11.01,3,Yes,0
24,male,Bachelor,37166,10000,DEBTCONSOLIDATION,11.01,3,No,1
26,male,Master,82428,10000,EDUCATION,8.49,3,Yes,0
22,female,Bachelor,82489,10000,PERSONAL,10.74,2,Yes,0
26,female,Doctorate,82564,10000,DEBTCONSOLIDATION,5.79,2,No,0
25,female,High School,36826,10000,MEDICAL,7.51,3,No,1
24,male,Master,82954,6000,VENTURE,11.01,2,Yes,0
23,male,Bachelor,82424,9750,VENTURE,10.37,3,No,0
23,male,Associate,36618,10000,PERSONAL,11.48,4,No,1
23,male,High School,36814,10000,MEDICAL,12.18,3,No,1
23,male,Associate,82735,10000,VENTURE,10.37,2,Yes,0
21,female,Bachelor,37083,10000,MEDICAL,11.14,2,No,1
22,male,Bachelor,36877,10000,VENTURE,11.14,2,No,1
23,male,High School,82526,12000,PERSONAL,5.42,4,Yes,0
23,male,Bachelor,37045,10000,PERSONAL,11.14,2,No,1
24,male,High School,36965,10000,MEDICAL,14.61,3,No,1
23,female,High School,36254,10000,PERSONAL,11.01,4,No,1
26,female,High School,82683,3600,MEDICAL,6.54,3,Yes,0
22,female,Associate,82275,10000,EDUCATION,11.01,2,Yes,0
22,male,High School,82757,13000,MEDICAL,7.88,2,Yes,0
22,female,High School,37337,10000,MEDICAL,9.63,4,No,1
24,male,Bachelor,82760,6000,EDUCATION,7.88,2,No,0
22,female,High School,37007,10000,MEDICAL,12.53,4,No,1
22,male,Bachelor,82602,3500,MEDICAL,6.39,4,No,0
24,male,Associate,36767,10000,DEBTCONSOLIDATION,11.66,2,No,1
24,male,Master,37116,10000,PERSONAL,8.38,2,No,1
23,female,High School,82705,14000,VENTURE,11.01,3,Yes,0
23,female,Bachelor,37401,10000,DEBTCONSOLIDATION,10.37,4,No,1
26,female,Master,38029,10000,DEBTCONSOLIDATION,11.49,3,No,1
25,female,High School,37891,10000,EDUCATION,10.37,2,No,1
22,female,Master,82706,14800,EDUCATION,9.88,4,Yes,0
26,male,Master,37937,10000,DEBTCONSOLIDATION,7.88,2,No,1
26,male,Bachelor,82711,6500,EDUCATION,11.01,2,No,0
22,female,Associate,38082,10000,PERSONAL,8.9,4,No,1
26,female,Master,82507,24250,PERSONAL,12.18,4,Yes,0
24,male,Bachelor,82321,3600,HOMEIMPROVEMENT,7.74,4,Yes,0
24,female,Associate,38059,10000,VENTURE,14.65,2,No,1
26,female,High School,82445,21000,PERSONAL,13.92,4,No,0
22,male,Associate,38579,10000,VENTURE,19.42,2,No,1
22,male,Bachelor,38105,10000,PERSONAL,11.01,4,No,1
23,female,Bachelor,38635,10000,MEDICAL,7.51,2,No,1
25,female,High School,75527,20000,HOMEIMPROVEMENT,17.04,3,No,1
25,male,Bachelor,38656,10000,MEDICAL,9.91,4,No,1
23,female,Associate,82585,4000,EDUCATION,11.01,4,Yes,0
24,female,Bachelor,82625,5500,PERSONAL,15.68,4,Yes,0
26,female,Master,82616,12000,EDUCATION,11.01,3,No,0
23,male,Bachelor,82752,1000,EDUCATION,8,3,No,0
22,male,Associate,38098,10000,PERSONAL,12.73,4,No,1
23,male,Associate,82387,21000,DEBTCONSOLIDATION,12.84,2,Yes,0
26,male,Master,64320,7500,MEDICAL,13.8,2,No,1
23,male,Master,75401,9000,HOMEIMPROVEMENT,11.03,2,No,1
24,female,Associate,82775,4200,HOMEIMPROVEMENT,5.42,4,Yes,0
26,male,Master,39659,10000,PERSONAL,6.99,3,No,1
24,female,High School,82983,4000,EDUCATION,6.39,3,No,0
26,female,Bachelor,64317,4000,MEDICAL,11.89,4,No,1
21,male,Associate,82896,16000,EDUCATION,11.26,3,No,0
23,female,Master,39098,10000,MEDICAL,7.29,3,No,1
23,male,High School,39186,10000,VENTURE,13.11,4,No,1
24,male,Bachelor,82764,8100,VENTURE,11.01,4,Yes,0
22,female,Master,39742,10000,VENTURE,16.07,2,No,1
22,male,High School,39541,10000,VENTURE,13.22,3,No,1
25,male,Master,82838,17000,EDUCATION,11.01,3,No,0
23,male,High School,39687,10000,MEDICAL,13.79,3,No,1
22,male,High School,39588,10000,EDUCATION,13.61,4,No,1
21,male,High School,39904,10000,EDUCATION,11.48,2,No,1
26,male,Master,83128,10500,PERSONAL,6.91,3,Yes,0
25,male,Associate,75600,4000,PERSONAL,18.39,2,No,1
24,male,Associate,83119,3000,PERSONAL,5.42,4,No,0
23,male,High School,40011,10000,PERSONAL,11.14,3,No,1
22,male,Bachelor,40115,10000,VENTURE,11.48,3,No,1
24,female,High School,82895,6000,MEDICAL,6.54,4,Yes,0
23,female,High School,83179,1800,VENTURE,8.88,4,Yes,0
25,male,High School,40270,10000,VENTURE,7.51,4,Yes,0
26,female,High School,40692,10000,PERSONAL,11.71,3,Yes,0
23,female,Master,40470,10000,EDUCATION,14.65,3,No,0
23,male,High School,41038,10000,EDUCATION,11.99,4,No,0
23,male,Bachelor,40777,10000,MEDICAL,5.42,3,No,0
21,male,High School,40827,10000,DEBTCONSOLIDATION,11.01,4,No,1
26,female,Associate,40528,10000,MEDICAL,11.49,2,Yes,0
22,female,Bachelor,83249,12000,PERSONAL,11.01,4,Yes,0
21,male,Bachelor,40965,10000,DEBTCONSOLIDATION,11.83,3,Yes,0
23,female,Associate,41078,10000,EDUCATION,7.51,4,No,0
26,male,Bachelor,83345,9000,MEDICAL,7.88,4,Yes,0
22,male,Associate,40689,10000,VENTURE,12.53,4,Yes,0
23,male,Bachelor,76040,10000,DEBTCONSOLIDATION,15.7,3,No,1
25,male,Associate,41222,10000,VENTURE,10.25,3,Yes,0
26,male,Doctorate,83380,6500,EDUCATION,11.14,2,Yes,0
23,female,Master,83372,4200,EDUCATION,11.66,4,Yes,0
24,male,Master,40967,10000,VENTURE,13.16,3,Yes,0
22,male,High School,41863,10000,MEDICAL,11.01,4,Yes,0
24,male,Associate,40955,10000,DEBTCONSOLIDATION,9.88,4,No,1
22,male,Bachelor,41515,10000,EDUCATION,10.25,3,Yes,0
25,male,High School,41437,10000,MEDICAL,11.03,4,Yes,0
22,female,Associate,76209,6000,HOMEIMPROVEMENT,14.74,4,No,1
22,male,Bachelor,83435,20000,EDUCATION,6.91,3,Yes,0
23,male,Master,83373,6000,DEBTCONSOLIDATION,11.01,2,No,0
25,male,Bachelor,41964,10000,HOMEIMPROVEMENT,12.53,2,No,1
21,male,Master,41536,10000,EDUCATION,9.91,4,No,0
21,female,Bachelor,41390,10000,EDUCATION,13.61,4,No,0
22,male,Associate,42297,10000,DEBTCONSOLIDATION,13.79,2,Yes,0
24,female,High School,83116,19500,HOMEIMPROVEMENT,11.83,2,Yes,0
25,male,Bachelor,65181,25000,MEDICAL,15.7,4,No,1
26,male,Bachelor,43155,10000,EDUCATION,7.88,2,Yes,0
24,female,Associate,43170,10000,DEBTCONSOLIDATION,11.01,4,Yes,0
21,male,Bachelor,83584,13250,PERSONAL,6.62,2,Yes,0
26,male,High School,76443,12000,EDUCATION,15.27,2,No,1
25,male,Associate,83470,25000,MEDICAL,6.99,2,Yes,0
22,female,High School,83514,15000,EDUCATION,8.49,2,Yes,0
23,male,High School,43273,10000,VENTURE,7.29,4,No,0
21,female,High School,43209,10000,VENTURE,7.66,3,Yes,0
23,male,Associate,42756,10000,EDUCATION,5.79,2,Yes,0
23,female,Associate,35913,10000,EDUCATION,17.93,3,No,1
24,female,Bachelor,43154,10000,DEBTCONSOLIDATION,13.48,4,No,0
22,male,Bachelor,83656,6500,MEDICAL,5.99,2,Yes,0
23,female,Bachelor,84027,9000,MEDICAL,5.99,3,Yes,0
25,female,Bachelor,84058,9600,HOMEIMPROVEMENT,7.49,3,Yes,0
26,female,High School,83651,15000,PERSONAL,7.49,3,Yes,0
23,female,Associate,84055,8325,MEDICAL,13.49,4,No,0
26,female,High School,83702,5000,PERSONAL,14.17,4,Yes,0
24,female,High School,83665,3000,DEBTCONSOLIDATION,11.11,2,Yes,0
24,female,Master,43007,10000,DEBTCONSOLIDATION,12.73,4,Yes,0
22,female,Bachelor,42997,10000,VENTURE,11.01,2,Yes,0
23,female,Master,42789,10000,DEBTCONSOLIDATION,13.22,2,Yes,0
24,female,Master,43163,10000,PERSONAL,12.84,4,Yes,0
25,female,Master,84059,20000,PERSONAL,10.75,2,Yes,0
24,male,Master,84007,7200,MEDICAL,7.88,2,Yes,0
26,male,Associate,83672,6000,MEDICAL,7.14,3,Yes,0
21,male,Associate,43425,10000,VENTURE,11.01,4,No,0
25,male,Associate,43676,10000,EDUCATION,9.32,3,Yes,0
24,male,Associate,83691,11000,PERSONAL,10.62,3,No,0
26,male,Bachelor,83814,16000,VENTURE,15.7,4,No,0
25,female,Associate,83714,6000,VENTURE,7.88,2,Yes,0
26,female,High School,83770,11000,DEBTCONSOLIDATION,11.01,2,Yes,0
26,male,High School,83730,18000,VENTURE,14.22,4,No,0
24,female,High School,83651,5200,HOMEIMPROVEMENT,17.19,2,Yes,0
25,male,Associate,83456,15900,HOMEIMPROVEMENT,13.22,3,Yes,0
26,female,Master,43826,10000,VENTURE,11.01,3,Yes,0
22,male,Associate,83945,1000,EDUCATION,7.4,2,Yes,0
23,male,High School,83867,15000,VENTURE,11.58,3,Yes,0
22,male,High School,83778,15000,EDUCATION,14.42,2,Yes,0
25,female,High School,44402,10000,DEBTCONSOLIDATION,12.42,4,Yes,0
23,male,High School,83939,8000,EDUCATION,10.95,2,Yes,0
22,male,Associate,83874,7800,PERSONAL,12.41,3,Yes,0
22,male,Associate,44001,10000,PERSONAL,6.03,3,Yes,0
23,male,High School,83782,19000,VENTURE,9.51,2,Yes,0
26,male,Bachelor,83727,6625,HOMEIMPROVEMENT,7.66,4,Yes,0
22,female,Associate,83878,10000,PERSONAL,7.51,3,Yes,0
23,female,High School,44102,10000,MEDICAL,9.99,4,Yes,0
24,female,High School,44080,10000,EDUCATION,5.99,3,Yes,0
22,male,Master,84242,8500,PERSONAL,11.01,3,Yes,0
22,female,High School,44375,10000,MEDICAL,13.49,2,Yes,0
25,male,High School,44289,10000,MEDICAL,7.49,4,Yes,0
23,female,Associate,83896,16800,VENTURE,7.51,3,Yes,0
22,male,High School,83931,6000,VENTURE,13.48,2,Yes,0
25,female,High School,44117,10000,PERSONAL,11.11,2,Yes,0
22,male,Bachelor,44342,10000,EDUCATION,14.72,2,No,0
24,female,Associate,84279,10000,VENTURE,7.66,4,Yes,0
24,female,Associate,77084,2500,HOMEIMPROVEMENT,11.14,4,No,1
25,male,Bachelor,84310,1500,PERSONAL,7.74,2,Yes,0
24,male,Master,77044,14000,HOMEIMPROVEMENT,13.85,3,No,1
25,male,High School,43918,10000,PERSONAL,11.01,2,Yes,0
23,female,Associate,84707,1925,VENTURE,9.91,4,No,0
21,female,Master,44152,10000,EDUCATION,10.62,3,Yes,0
22,male,High School,44148,10000,EDUCATION,13.48,4,Yes,0
25,female,High School,84355,7000,VENTURE,11.49,2,No,0
23,male,Bachelor,84617,1200,DEBTCONSOLIDATION,6.99,3,No,0
23,male,Master,77089,20000,DEBTCONSOLIDATION,10.99,3,No,1
21,female,Master,44124,10000,MEDICAL,13.22,4,No,0
26,male,High School,84455,5000,VENTURE,11.66,4,Yes,0
21,female,High School,43937,10000,PERSONAL,11.48,4,Yes,0
26,male,Bachelor,84544,7500,MEDICAL,11.01,3,Yes,0
24,male,Associate,84246,2400,MEDICAL,11.01,4,Yes,0
22,male,Bachelor,44225,10000,VENTURE,11.14,3,No,0
23,male,Associate,84509,1000,PERSONAL,14.11,3,No,0
23,male,Associate,37578,10000,HOMEIMPROVEMENT,15.31,4,No,1
23,male,High School,44470,10000,EDUCATION,8.59,2,Yes,0
23,male,Associate,36960,10000,DEBTCONSOLIDATION,16,4,No,1
22,female,High School,85115,13000,EDUCATION,11.14,2,Yes,0
25,female,Bachelor,84908,5050,VENTURE,5.42,2,Yes,0
26,female,Master,84914,8000,VENTURE,6.99,2,No,0
23,female,Master,84884,7200,MEDICAL,7.49,3,Yes,0
22,male,High School,84846,9750,EDUCATION,14.65,2,No,0
24,female,High School,44253,10000,DEBTCONSOLIDATION,11.46,4,Yes,0
22,female,High School,44067,10000,EDUCATION,5.42,3,No,0
22,male,Associate,37448,10000,VENTURE,12.8,2,No,1
22,male,Master,37954,10000,DEBTCONSOLIDATION,15.65,4,No,1
26,male,Doctorate,84828,14000,DEBTCONSOLIDATION,13.49,2,Yes,0
22,male,High School,45367,10000,EDUCATION,7.51,4,Yes,0
22,male,High School,45411,10000,DEBTCONSOLIDATION,11.01,2,Yes,0
22,male,Associate,84230,10000,VENTURE,10,4,No,0
23,female,Master,45353,10000,PERSONAL,13.23,3,No,0
24,male,Bachelor,85145,10000,MEDICAL,11.01,2,Yes,0
23,male,Master,85197,12000,VENTURE,11.11,2,No,0
22,male,High School,45134,10000,EDUCATION,8.59,2,Yes,0
23,male,Associate,84719,3000,VENTURE,6.39,4,No,0
22,female,High School,45779,10000,EDUCATION,6.92,3,No,0
24,male,Associate,46057,10000,MEDICAL,12.92,4,Yes,0
23,male,Associate,84715,10000,EDUCATION,11.01,4,Yes,0
25,female,Master,46047,10000,MEDICAL,15.96,4,Yes,0
26,female,Doctorate,46436,10000,EDUCATION,14.91,3,No,0
26,male,High School,45905,10000,DEBTCONSOLIDATION,8.94,3,Yes,0
23,female,High School,38903,10000,DEBTCONSOLIDATION,15.33,4,No,1
24,male,High School,84742,3000,EDUCATION,6.39,3,No,0
22,female,Bachelor,46549,10000,PERSONAL,13.49,2,No,0
25,male,Bachelor,85072,25000,PERSONAL,10.62,3,Yes,0
24,female,Bachelor,46437,10000,EDUCATION,11.01,4,No,0
25,male,Bachelor,39680,10000,VENTURE,12.99,2,No,1
23,male,Bachelor,46370,10000,PERSONAL,10.99,2,Yes,0
22,male,Bachelor,84893,8000,MEDICAL,12.84,4,Yes,0
25,female,Associate,46345,10000,EDUCATION,7.49,4,Yes,0
24,female,High School,85089,12000,VENTURE,11.01,2,Yes,0
23,male,High School,84915,4000,VENTURE,8,2,Yes,0
26,male,High School,46754,10000,PERSONAL,7.66,3,Yes,0
23,female,Bachelor,46711,10000,VENTURE,7.51,4,Yes,0
23,male,Bachelor,85063,15000,PERSONAL,13.47,4,Yes,0
26,male,Bachelor,46459,10000,VENTURE,11.01,3,Yes,0
22,male,High School,84928,15000,DEBTCONSOLIDATION,12.21,2,No,0
24,female,Associate,84916,5000,HOMEIMPROVEMENT,10.2,2,No,0
21,female,Associate,46740,10000,PERSONAL,12.18,3,No,0
23,male,Bachelor,85339,10000,PERSONAL,6.62,4,Yes,0
26,female,Associate,84776,20000,HOMEIMPROVEMENT,14.27,4,Yes,0
22,male,High School,46431,10000,VENTURE,10.74,3,Yes,0
26,female,Associate,84926,5000,PERSONAL,11.01,4,Yes,0
22,female,Associate,46397,10000,PERSONAL,10.37,4,Yes,0
22,female,Master,46183,10000,EDUCATION,10.75,2,Yes,0
26,female,Master,46774,10000,MEDICAL,13.48,3,No,0
25,female,Associate,39679,10000,VENTURE,16.77,4,No,1
24,male,High School,46781,10000,PERSONAL,7.88,3,No,0
23,female,High School,84874,24000,EDUCATION,8.9,4,No,0
23,male,Bachelor,39881,10000,EDUCATION,8.49,3,No,1
21,male,Master,47407,10000,EDUCATION,7.66,4,Yes,0
24,male,Bachelor,47229,10000,DEBTCONSOLIDATION,10.38,3,Yes,0
24,male,Associate,78066,16000,HOMEIMPROVEMENT,14.65,2,No,1
21,male,High School,40403,10000,MEDICAL,13.23,4,No,1
22,male,Associate,84676,8000,DEBTCONSOLIDATION,13.49,2,Yes,0
23,female,Bachelor,85064,3500,VENTURE,6.03,3,Yes,0
24,female,Bachelor,47541,10000,MEDICAL,11.01,3,Yes,0
22,male,High School,84747,6000,MEDICAL,6.03,2,Yes,0
23,female,Associate,84845,2000,EDUCATION,13.49,2,Yes,0
26,female,High School,47730,10000,DEBTCONSOLIDATION,10.37,2,Yes,0
22,female,Bachelor,40214,10000,PERSONAL,12.42,3,No,1
25,male,Bachelor,85133,11300,DEBTCONSOLIDATION,14.65,2,Yes,0
25,male,High School,40479,10000,VENTURE,15.96,3,No,1
24,male,Bachelor,77823,6100,VENTURE,18.64,4,No,1
25,male,Bachelor,84651,1000,PERSONAL,12.69,2,No,0
25,female,Bachelor,84995,15600,DEBTCONSOLIDATION,11.71,3,No,0
24,male,High School,84786,7750,EDUCATION,6.62,3,No,0
26,male,Associate,77653,9000,DEBTCONSOLIDATION,18.64,4,No,1
22,male,Bachelor,84904,5000,EDUCATION,6.03,2,Yes,0
26,female,Bachelor,84924,35000,VENTURE,7.9,2,Yes,0
25,male,High School,48402,10000,MEDICAL,5.99,2,Yes,0
22,female,Associate,48614,10000,EDUCATION,9.99,2,Yes,0
22,female,Bachelor,48618,10000,DEBTCONSOLIDATION,11.71,2,No,0
22,female,Associate,41719,10000,MEDICAL,8.32,2,No,1
26,male,Bachelor,84827,10000,PERSONAL,12.42,4,Yes,0
25,female,High School,49132,10000,VENTURE,10.99,4,Yes,0
23,male,Bachelor,48526,10000,MEDICAL,11.01,2,Yes,0
24,male,Bachelor,77804,4000,VENTURE,20,2,No,1
25,male,High School,84867,10000,HOMEIMPROVEMENT,11.01,2,Yes,0
21,female,Associate,48850,10000,EDUCATION,8.59,4,Yes,0
22,male,Associate,84903,2000,EDUCATION,7.9,3,No,0
24,female,Associate,84881,10000,MEDICAL,13.49,4,Yes,0
21,male,Associate,49185,10000,MEDICAL,11.71,4,Yes,0
24,male,High School,85047,17000,PERSONAL,7.51,4,Yes,0
22,female,High School,77720,14400,DEBTCONSOLIDATION,11.71,2,No,1
23,male,Bachelor,84800,10500,EDUCATION,7.51,2,No,0
22,male,Associate,49028,10000,EDUCATION,14.27,3,No,0
24,male,Bachelor,85100,5000,DEBTCONSOLIDATION,6.03,3,No,0
22,female,High School,49309,10000,EDUCATION,11.01,4,Yes,0
22,female,Master,85101,5025,VENTURE,11.01,2,Yes,0
21,female,Associate,84983,7000,MEDICAL,6.03,3,No,0
23,female,Associate,84659,16000,EDUCATION,11.01,4,Yes,0
23,female,Associate,49284,10000,EDUCATION,11.01,2,No,0
23,male,Associate,84789,13000,EDUCATION,5.42,3,Yes,0
24,male,High School,41663,10000,HOMEIMPROVEMENT,12.69,2,No,1
23,female,Associate,49028,10000,VENTURE,7.9,3,No,0
25,female,High School,41403,10000,PERSONAL,6.62,4,No,1
22,male,Bachelor,84378,1250,VENTURE,5.42,4,Yes,0
21,female,High School,85133,2500,PERSONAL,16.49,3,No,0
24,female,Associate,85048,7000,DEBTCONSOLIDATION,9.99,4,No,0
26,male,High School,48984,10000,VENTURE,16.89,3,Yes,0
23,male,Associate,66400,12000,MEDICAL,15.62,3,No,1
24,male,Associate,48829,10000,DEBTCONSOLIDATION,11.99,3,Yes,0
24,male,High School,77999,14500,PERSONAL,5.42,2,No,1
25,female,Bachelor,84973,14000,VENTURE,5.42,3,No,0
25,female,Associate,84972,4800,VENTURE,6.99,4,No,0
24,male,High School,49203,10000,PERSONAL,8.49,3,Yes,0
22,male,Bachelor,84999,9750,EDUCATION,8.49,4,Yes,0
22,male,High School,41646,10000,MEDICAL,15.28,3,No,1
23,male,Bachelor,84808,15000,VENTURE,8.49,2,Yes,0
22,female,Master,48914,10000,EDUCATION,10.37,2,Yes,0
24,male,Bachelor,49032,10000,MEDICAL,5.79,2,No,0
25,female,Bachelor,49367,10000,MEDICAL,10,4,Yes,0
23,male,Associate,41916,10000,EDUCATION,10.36,4,No,1
21,female,Bachelor,49004,10000,EDUCATION,11.01,2,Yes,0
23,male,High School,49010,10000,EDUCATION,10.75,4,Yes,0
24,female,Master,84797,6000,EDUCATION,15.23,4,Yes,0
25,female,Master,84980,8000,MEDICAL,6.99,4,No,0
24,male,Associate,48964,10000,PERSONAL,7.88,3,Yes,0
26,female,Bachelor,85087,4000,HOMEIMPROVEMENT,8.49,2,Yes,0
22,female,Associate,85207,4500,DEBTCONSOLIDATION,5.42,2,Yes,0
26,male,Master,84720,8000,DEBTCONSOLIDATION,11.01,2,No,0
22,male,Bachelor,49179,10000,EDUCATION,7.14,4,No,0
21,female,High School,48864,10000,VENTURE,7.51,4,Yes,0
26,male,Associate,41930,10000,VENTURE,13.11,3,No,1
22,male,Master,84885,8000,EDUCATION,7.49,3,No,0
25,female,High School,49051,10000,VENTURE,13.48,3,Yes,0
24,female,High School,49039,10000,VENTURE,11.01,2,No,0
23,male,High School,49061,10000,DEBTCONSOLIDATION,13.22,4,No,0
25,female,High School,49473,10000,EDUCATION,12.18,3,No,0
22,male,Associate,85004,6000,DEBTCONSOLIDATION,5.42,2,No,0
22,female,High School,49218,10000,MEDICAL,12.21,2,No,0
23,male,Bachelor,84899,25000,PERSONAL,10.59,3,Yes,0
23,female,High School,84811,10000,MEDICAL,14.79,2,No,0
22,female,Bachelor,85062,2000,MEDICAL,11.49,4,No,0
22,male,High School,84604,6000,VENTURE,11.49,2,Yes,0
26,male,Associate,48664,10000,EDUCATION,9.63,4,Yes,0
23,female,Associate,49035,10000,DEBTCONSOLIDATION,12.84,4,Yes,0
22,male,Bachelor,41978,10000,EDUCATION,11.01,3,No,1
25,male,Master,85320,4000,PERSONAL,7.42,2,Yes,0
25,female,High School,41421,10000,HOMEIMPROVEMENT,13.79,4,No,1
22,female,High School,84799,8400,DEBTCONSOLIDATION,6.99,4,No,0
22,female,High School,48919,10000,EDUCATION,8,4,Yes,0
25,female,Associate,85071,10000,MEDICAL,5.42,4,Yes,0
24,female,Bachelor,85026,6000,PERSONAL,5.42,2,Yes,0
24,female,Master,84618,21000,EDUCATION,11.99,4,Yes,0
24,female,High School,50202,10000,EDUCATION,6.99,4,Yes,0
22,female,Bachelor,84783,6800,EDUCATION,11.01,4,Yes,0
24,female,Master,50224,10000,DEBTCONSOLIDATION,11.14,2,No,0
22,male,Associate,78027,6000,DEBTCONSOLIDATION,11.01,2,No,1
25,female,High School,84979,20000,VENTURE,10.59,2,No,0
23,female,Bachelor,85169,2500,EDUCATION,11.99,2,Yes,0
24,female,Bachelor,84772,1600,MEDICAL,10.99,3,Yes,0
23,female,Associate,51318,10000,VENTURE,11.01,2,Yes,0
23,male,High School,84933,3600,EDUCATION,10.59,4,Yes,0
22,male,Associate,44093,10000,VENTURE,15.27,2,No,1
22,male,Bachelor,51678,10000,EDUCATION,12.42,4,No,0
22,male,High School,51551,10000,EDUCATION,13.49,4,Yes,0
25,female,Bachelor,51100,10000,MEDICAL,14.27,2,No,0
25,female,High School,51114,10000,EDUCATION,12.99,2,No,0
22,male,High School,84952,10000,DEBTCONSOLIDATION,7.29,3,Yes,0
23,male,Bachelor,51440,10000,PERSONAL,5.42,3,Yes,0
23,male,Bachelor,51415,10000,MEDICAL,11.01,4,No,0
22,male,Bachelor,85038,2000,VENTURE,10.74,2,Yes,0
22,female,High School,51299,10000,PERSONAL,11.01,4,Yes,0
22,male,Bachelor,51542,10000,EDUCATION,10.99,4,No,0
22,male,Associate,51025,10000,EDUCATION,6.92,2,No,0
26,female,High School,85125,4800,MEDICAL,11.01,4,Yes,0
24,male,High School,84765,25000,HOMEIMPROVEMENT,11.01,3,No,0
23,female,Bachelor,85132,3500,DEBTCONSOLIDATION,5.42,2,Yes,0
26,female,Associate,51088,10000,MEDICAL,6.54,4,No,0
22,male,High School,51146,10000,DEBTCONSOLIDATION,6.17,3,Yes,0
22,female,High School,51189,10000,PERSONAL,13.98,2,No,0
22,male,Bachelor,43973,10000,PERSONAL,11.36,2,No,1
